21/02/2004
Newtown 22 6 1 4 18 18 4 1 6 14 14 32
Rhyl 24 10 3 0 39 10 7 3 1 24 14 57
Afan_Lido 24 2 4 6 12 15 3 3 6 13 25 22
Aberystwyth_Town 24 9 2 2 27 13 6 1 4 21 17 48
Port_Talbot_Town 23 4 3 5 19 19 3 2 6 9 16 26
Welshpool_Town 22 4 1 5 13 16 2 2 8 12 32 21
Barry_Town 22 1 1 10 11 31 0 3 7 6 28 7
Bangor_City 24 5 2 4 30 19 7 2 4 29 18 40
Caersws 23 4 5 3 16 16 5 2 4 26 19 34
NEWI_Cefn_Druids 24 5 2 5 21 23 4 0 8 14 19 29
Connahs_Quay_Nomads 22 4 1 6 19 20 3 6 2 22 19 28
Cwmbran_Town 21 2 2 4 14 13 7 0 6 19 17 29
Haverfordwest_County 23 9 3 1 18 7 4 4 2 10 8 46
Porthmadog 23 5 2 3 15 11 3 0 10 13 30 26
Carmarthen_Town 24 2 2 8 9 23 0 6 6 12 31 14
Caernarfon_Town 24 6 4 3 36 26 3 2 6 19 27 33
Total_Network_Solutions 23 9 1 1 27 9 9 2 1 26 10 57
